retailer_moniker,project_id_prod,project_id_qa,project_id_stg,md5_hash
bananarepublicfactory,monitor-eaefa51-us-prod,monitor-eaefa51-us-qa,monitor-eaefa51-us-stg,eaefa51
bananarepublicfactoryca,monitor-86bc2bc-us-prod,monitor-86bc2bc-us-qa,monitor-86bc2bc-us-stg,86bc2bc
banter,monitor-ef6571a-us-prod,monitor-ef6571a-us-qa,monitor-ef6571a-us-stg,ef6571a
baobabcollection,monitor-9dcb1ee-us-prod,monitor-9dcb1ee-us-qa,monitor-9dcb1ee-us-stg,9dcb1ee
baobabcollection-us,monitor-89cb5c0-us-prod,monitor-89cb5c0-us-qa,monitor-89cb5c0-us-stg,89cb5c0
bareminerals,monitor-0f3eb12-us-prod,monitor-0f3eb12-us-qa,monitor-0f3eb12-us-stg,0f3eb12
baremineralsuk,monitor-0da54b9-us-prod,monitor-0da54b9-us-qa,monitor-0da54b9-us-stg,0da54b9
barenecessities,monitor-5086458-us-prod,monitor-5086458-us-qa,monitor-5086458-us-stg,5086458
barfers,monitor-3b28e5b-us-prod,monitor-3b28e5b-us-qa,monitor-3b28e5b-us-stg,3b28e5b
bark,monitor-33c6c23-us-prod,monitor-33c6c23-us-qa,monitor-33c6c23-us-stg,33c6c23
barkbox,monitor-2a6dc8c-us-prod,monitor-2a6dc8c-us-qa,monitor-2a6dc8c-us-stg,2a6dc8c
barnesandnoble,monitor-72a823e-us-prod,monitor-72a823e-us-qa,monitor-72a823e-us-stg,72a823e
barnesandnoblenew,monitor-fcfc04d-us-prod,monitor-fcfc04d-us-qa,monitor-fcfc04d-us-stg,fcfc04d
barneys,monitor-05810a8-us-prod,monitor-05810a8-us-qa,monitor-05810a8-us-stg,05810a8
barrys,monitor-e91a6d6-us-prod,monitor-e91a6d6-us-qa,monitor-e91a6d6-us-stg,e91a6d6
barstoolbets,monitor-2d5ed92-us-prod,monitor-2d5ed92-us-qa,monitor-2d5ed92-us-stg,2d5ed92
barstoolsports,monitor-e9d9eca-us-prod,monitor-e9d9eca-us-qa,monitor-e9d9eca-us-stg,e9d9eca
barstoolsportsca,monitor-ccfc581-us-prod,monitor-ccfc581-us-qa,monitor-ccfc581-us-stg,ccfc581
baseballmonkey,monitor-d82b14a-us-prod,monitor-d82b14a-us-qa,monitor-d82b14a-us-stg,d82b14a
baseballsavings,monitor-35a73ed-us-prod,monitor-35a73ed-us-qa,monitor-35a73ed-us-stg,35a73ed
bassettfurniture,monitor-5983048-us-prod,monitor-5983048-us-qa,monitor-5983048-us-stg,5983048
